GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AP2Java,io.github.ap2java.domain,PaymentRequest.PaymentRequestBuilder,40,50,0,0,0,1,5,7,5,7
AP2Java,io.github.ap2java.domain,Payment,450,76,94,0,4,11,65,13,18,13
AP2Java,io.github.ap2java.domain,PaymentProvider.PaymentProviderBuilder,72,0,0,0,1,0,10,0,10,0
AP2Java,io.github.ap2java.domain,PaymentRequest,348,81,78,0,1,12,52,12,13,12
AP2Java,io.github.ap2java.domain,PaymentProvider,343,0,62,0,11,0,52,0,21,0
AP2Java,io.github.ap2java.domain,PaymentStatus,0,57,0,0,0,10,0,1,0,1
AP2Java,io.github.ap2java.domain,EnhancedMessage,17,0,0,0,7,0,5,0,5,0
AP2Java,io.github.ap2java.domain,Payment.PaymentBuilder,33,95,2,2,0,1,4,12,2,12
AP2Java,io.github.ap2java.domain,EnhancedCapabilities,58,0,4,0,13,0,8,0,6,0
AP2Java,io.github.ap2java.domain,PaymentResponse.PaymentResponseBuilder,32,67,0,0,0,1,3,10,3,10
AP2Java,io.github.ap2java.domain,PaymentResponse,414,58,86,0,5,9,61,9,18,9
AP2Java,io.github.ap2java.domain,EnhancedTask,24,0,0,0,10,0,7,0,7,0
AP2Java,io.github.ap2java.domain,PaymentEnabledAgentCard,230,0,34,0,14,0,34,0,17,0
AP2Java,io.github.ap2java.examples,SimplePaymentExample,224,0,0,0,63,0,6,0,6,0
AP2Java,io.github.ap2java.examples,AP2IntegrationExample,322,0,4,0,74,0,8,0,6,0
AP2Java,io.github.ap2java.examples.secure,SimpleSecureExample,122,0,6,0,34,0,6,0,3,0
AP2Java,io.github.ap2java.mandate,MandateViolationException,33,0,0,0,12,0,5,0,5,0
AP2Java,io.github.ap2java.mandate,DefaultMandateVerifier,284,0,40,0,77,0,26,0,6,0
AP2Java,io.github.ap2java.mandate,PaymentMandate,170,0,12,0,55,0,34,0,28,0
AP2Java,io.github.ap2java.mandate,CartMandate,165,0,8,0,54,0,32,0,28,0
AP2Java,io.github.ap2java.mandate,CartMandate.CartItem,36,0,0,0,11,0,6,0,6,0
AP2Java,io.github.ap2java.mandate,IntentMandate,158,0,20,0,50,0,33,0,23,0
AP2Java,io.github.ap2java.payment,SamplePaymentProcessor,77,341,8,10,42,102,8,17,0,16
AP2Java,io.github.ap2java.credentials,CredentialProof,51,0,0,0,16,0,8,0,8,0
AP2Java,io.github.ap2java.credentials,CredentialSubject,39,0,2,0,9,0,6,0,5,0
AP2Java,io.github.ap2java.credentials,VerifiableCredential,50,0,2,0,17,0,10,0,9,0
AP2Java,io.github.ap2java.client,AP2Client,357,0,16,0,103,0,29,0,21,0
